time,frame_2.5,id,x,z,y,v_x,v_z,v_y
312.00,780.00,1.00,8.46,0.00,3.59,1.67,0.00,0.18
314.00,786.00,1.00,9.13,0.00,3.66,1.66,0.00,0.33
317.00,792.00,1.00,9.79,0.00,3.85,1.68,0.00,0.37
319.00,798.00,1.00,10.50,0.00,3.96,1.60,0.00,0.27
322.00,804.00,1.00,11.10,0.00,4.06,1.57,0.00,0.46
322.00,804.00,2.00,13.00,0.00,5.78,-2.32,0.00,-0.08
324.00,810.00,1.00,11.70,0.00,4.32,1.64,0.00,0.54
324.00,810.00,2.00,12.10,0.00,5.75,-1.59,0.00,-0.07
326.00,816.00,1.00,12.40,0.00,4.50,1.62,0.00,0.44
326.00,816.00,2.00,11.70,0.00,5.73,-1.14,0.00,0.11
329.00,822.00,2.00,11.20,0.00,5.84,-1.64,0.00,0.18
331.00,828.00,2.00,10.40,0.00,5.87,-1.41,0.00,0.42
334.00,834.00,3.00,12.30,0.00,6.67,-0.84,0.00,0.25
334.00,834.00,2.00,10.10,0.00,6.17,-1.08,0.00,0.46
336.00,840.00,3.00,11.90,0.00,6.77,-1.03,0.00,0.31
336.00,840.00,2.00,9.57,0.00,6.24,-1.21,0.00,0.12
338.00,846.00,5.00,-1.89,0.00,4.38,1.51,0.00,0.20
338.00,846.00,4.00,-1.71,0.00,5.13,1.48,0.00,-0.05
338.00,846.00,3.00,11.40,0.00,6.91,-1.39,0.00,0.04
338.00,846.00,2.00,9.08,0.00,6.26,-1.27,0.00,0.17
338.00,846.00,6.00,12.20,0.00,5.75,-1.22,0.00,0.26
341.00,852.00,5.00,-1.28,0.00,4.46,1.49,0.00,0.08
341.00,852.00,4.00,-1.12,0.00,5.11,1.47,0.00,-0.05
341.00,852.00,3.00,10.80,0.00,6.80,-1.32,0.00,-0.16
341.00,852.00,2.00,8.55,0.00,6.37,-1.23,0.00,0.27
341.00,852.00,6.00,11.70,0.00,5.85,-1.33,0.00,0.21
343.00,858.00,5.00,-0.70,0.00,4.44,1.50,0.00,-0.27
343.00,858.00,4.00,-0.54,0.00,5.09,1.51,0.00,-0.11
343.00,858.00,3.00,10.40,0.00,6.79,-1.23,0.00,0.08
343.00,858.00,2.00,8.10,0.00,6.48,-1.15,0.00,0.22
343.00,858.00,6.00,11.10,0.00,5.92,-1.45,0.00,0.07
346.00,864.00,5.00,-0.08,0.00,4.24,1.61,0.00,-0.27
346.00,864.00,4.00,0.09,0.00,5.02,1.62,0.00,-0.11
346.00,864.00,3.00,9.84,0.00,6.86,-1.30,0.00,0.08
346.00,864.00,2.00,7.64,0.00,6.55,-1.16,0.00,0.17
346.00,864.00,6.00,10.50,0.00,5.91,-1.38,0.00,-0.03
348.00,870.00,5.00,0.60,0.00,4.23,1.60,0.00,-0.09
348.00,870.00,4.00,0.76,0.00,5.00,1.59,0.00,-0.11
348.00,870.00,3.00,9.36,0.00,6.85,-1.12,0.00,-0.08
348.00,870.00,2.00,7.17,0.00,6.62,-1.13,0.00,0.12
348.00,870.00,6.00,10.00,0.00,5.89,-1.34,0.00,0.12
350.00,876.00,5.00,1.20,0.00,4.17,1.51,0.00,-0.15
350.00,876.00,4.00,1.36,0.00,4.93,1.50,0.00,-0.16
350.00,876.00,3.00,8.95,0.00,6.80,-1.18,0.00,0.02
350.00,876.00,2.00,6.73,0.00,6.64,-1.03,0.00,0.11
350.00,876.00,6.00,9.44,0.00,6.00,-1.36,0.00,0.17
353.00,882.00,5.00,1.80,0.00,4.11,1.55,0.00,-0.09
353.00,882.00,4.00,1.96,0.00,4.87,1.54,0.00,-0.11
353.00,882.00,3.00,8.41,0.00,6.87,-1.25,0.00,0.08
353.00,882.00,2.00,6.34,0.00,6.71,-0.93,0.00,0.16
353.00,882.00,6.00,8.91,0.00,6.03,-1.29,0.00,0.01
355.00,888.00,5.00,2.45,0.00,4.09,1.65,0.00,-0.09
355.00,888.00,4.00,2.60,0.00,4.85,1.58,0.00,-0.11
355.00,888.00,3.00,7.95,0.00,6.86,-1.22,0.00,-0.08
355.00,888.00,2.00,5.99,0.00,6.77,-0.93,0.00,0.27
355.00,888.00,6.00,8.41,0.00,6.02,-1.30,0.00,0.07
358.00,894.00,5.00,3.12,0.00,4.03,1.57,0.00,-0.09
358.00,894.00,4.00,3.22,0.00,4.78,1.50,0.00,-0.10
358.00,894.00,3.00,7.44,0.00,6.81,-1.23,0.00,-0.03
358.00,894.00,2.00,5.60,0.00,6.92,-0.94,0.00,0.27
358.00,894.00,6.00,7.87,0.00,6.08,-1.26,0.00,0.17
360.00,900.00,5.00,3.70,0.00,4.02,1.49,0.00,0.02
360.00,900.00,4.00,3.80,0.00,4.77,1.65,0.00,-0.11
360.00,900.00,3.00,6.96,0.00,6.84,-1.07,0.00,0.22
360.00,900.00,2.00,5.24,0.00,6.98,-0.73,0.00,0.15
360.00,900.00,6.00,7.40,0.00,6.15,-1.29,0.00,0.07
362.00,906.00,5.00,4.32,0.00,4.05,1.58,0.00,0.02
362.00,906.00,4.00,4.54,0.00,4.70,1.74,0.00,-0.11
362.00,906.00,3.00,6.58,0.00,6.98,-1.03,0.00,0.22
362.00,906.00,2.00,5.02,0.00,7.04,-0.55,0.00,0.30
362.00,906.00,6.00,6.84,0.00,6.14,-1.31,0.00,0.01
365.00,912.00,5.00,4.96,0.00,4.04,1.56,0.00,0.02
365.00,912.00,4.00,5.19,0.00,4.68,1.54,0.00,0.01
365.00,912.00,3.00,6.14,0.00,7.01,-1.05,0.00,0.12
365.00,912.00,2.00,4.80,0.00,7.22,-0.59,0.00,0.68
365.00,912.00,6.00,6.36,0.00,6.16,-1.21,0.00,0.11
367.00,918.00,5.00,5.56,0.00,4.07,1.47,0.00,0.02
367.00,918.00,4.00,5.78,0.00,4.70,1.46,0.00,0.01
367.00,918.00,3.00,5.74,0.00,7.08,-0.94,0.00,0.16
367.00,918.00,2.00,4.54,0.00,7.58,-0.43,0.00,0.46
367.00,918.00,6.00,5.87,0.00,6.23,-1.23,0.00,0.01
370.00,924.00,5.00,6.14,0.00,4.05,1.50,0.00,-0.03
370.00,924.00,4.00,6.36,0.00,4.69,1.49,0.00,-0.05
370.00,924.00,3.00,5.39,0.00,7.14,-0.85,0.00,-0.05
