time,frame_2.5,id,x,z,y,v_x,v_z,v_y
0.40,1.00,1.00,1.40,0.00,-5.74,-0.33,0.00,-1.68
0.40,1.00,2.00,0.52,0.00,-7.00,0.10,0.00,-1.63
0.40,1.00,3.00,2.26,0.00,-4.55,-0.90,0.00,1.19
0.40,1.00,4.00,2.74,0.00,-2.42,0.05,0.00,1.82
0.40,1.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
0.40,1.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
0.40,1.00,7.00,-2.44,0.00,2.28,0.03,0.00,0.51
0.40,1.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
0.40,1.00,9.00,1.16,0.00,-8.60,0.05,0.00,-1.57
0.40,1.00,10.00,-0.11,0.00,-9.90,0.00,0.00,0.05
4.40,11.00,1.00,1.27,0.00,-6.42,-0.33,0.00,-1.68
4.40,11.00,2.00,0.56,0.00,-7.66,0.10,0.00,-1.63
4.40,11.00,3.00,1.90,0.00,-4.07,-0.96,0.00,1.40
4.40,11.00,4.00,2.76,0.00,-1.70,-0.02,0.00,1.77
4.40,11.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
4.40,11.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
4.40,11.00,7.00,-2.43,0.00,2.48,0.02,0.00,0.41
4.40,11.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
4.40,11.00,9.00,1.19,0.00,-9.23,0.05,0.00,-1.57
4.40,11.00,10.00,-0.11,0.00,-9.88,0.00,0.00,0.05
8.40,21.00,3.00,1.49,0.00,-3.43,-0.99,0.00,1.41
8.40,21.00,4.00,2.73,0.00,-1.00,-0.05,0.00,1.68
8.40,21.00,5.00,-1.59,0.00,0.93,0.00,0.00,0.00
8.40,21.00,6.00,-1.72,0.00,1.32,0.00,0.00,0.00
8.40,21.00,7.00,-2.42,0.00,2.61,0.08,0.00,0.45
8.40,21.00,8.00,-1.45,0.00,-0.76,0.00,0.00,0.00
12.40,31.00,3.00,1.11,0.00,-2.94,-0.84,0.00,1.28
12.40,31.00,4.00,2.73,0.00,-0.36,-0.02,0.00,1.77
