time,x,y,id,risk-so-far,total-risk
3.92,4.6012,1.8909,1,0.0,0.0
3.96,4.5359,1.8976,1,0.0,0.0
4.0,4.447,1.9304,1,0.0,0.0
4.04,4.3865,1.9364,1,0.0,0.0
4.08,4.3285,1.9452,1,0.0,0.0
4.12,4.2707,1.9487,1,0.0,0.0
4.16,4.2142,1.9536,1,0.0,0.0
4.2,4.1565,1.9545,1,0.0,0.0
4.2,4.5688,3.0972,2,0.0,0.0
4.24,4.0987,1.9554,1,0.0,0.0
4.24,4.5032,3.0875,2,0.0,0.0
4.28,4.032,1.9654,1,0.0,0.0
4.28,4.4357,3.0619,2,0.0,0.0
4.32,3.9787,1.9521,1,0.0,0.0
4.32,4.3808,3.0576,2,0.0,0.0
4.36,3.9223,1.9444,1,0.0,0.0
4.36,4.3259,3.0507,2,0.0,0.0
4.4,3.8395,1.9531,1,0.0,0.0
4.4,4.2775,3.0438,2,0.0,0.0
4.44,3.7832,1.9357,1,0.0,0.0
4.44,4.2294,3.0412,2,0.0,0.0
4.44,4.5908,3.6105,3,0.0,0.0
4.48,3.7154,1.9335,1,0.0,0.0
4.48,4.173,3.0434,2,0.0,0.0
4.48,4.5264,3.6089,3,0.0,0.0
4.5200000000000005,3.6433,1.9209,1,0.0,0.0
4.5200000000000005,4.1181,3.044,2,0.0,0.0
4.5200000000000005,4.4663,3.6114,3,0.0,0.0
4.5600000000000005,3.5911,1.9182,1,0.0,0.0
4.5600000000000005,4.0549,3.0407,2,0.0,0.0
4.5600000000000005,4.4048,3.6166,3,0.0,0.0
4.6000000000000005,3.5312,1.9109,1,0.0,0.0
4.6000000000000005,3.9995,3.0362,2,0.0,0.0
4.6000000000000005,4.341,3.624,3,0.0,0.0
4.64,3.4747,1.8991,1,0.0,0.0
4.64,3.9403,3.0498,2,0.0,0.0
4.64,4.273,3.6318,3,0.0,0.0
4.68,3.4252,1.8946,1,0.0,0.0
4.68,3.8647,3.0518,2,0.0,0.0
4.68,4.2009,3.6399,3,0.0,0.0
4.72,3.3609,1.8916,1,0.0,0.0
4.72,3.7991,3.06,2,0.0,0.0
4.72,4.1233,3.6467,3,0.0,0.0
4.72,4.6009,1.5667,4,0.0,0.0
4.76,3.3181,1.8903,1,0.0,0.0
4.76,3.7366,3.0646,2,0.0,0.0
4.76,4.0456,3.6562,3,0.0,0.0
4.76,4.5258,1.5593,4,0.0,0.0
4.8,3.2626,1.8909,1,0.0,0.0
4.8,3.6831,3.068,2,0.0,0.0
4.8,3.9614,3.6668,3,0.0,0.0
4.8,4.4554,1.5511,4,0.0,0.0
4.84,3.2116,1.8942,1,0.0,0.0
4.84,3.6312,3.0761,2,0.0,0.0
