point cloud with 10096 points in dimension 3
value range: [0.240666,95.0941]
distance matrix with 10096 points, using threshold at enclosing radius 47.6396
persistence intervals in dim 0:
 [0,0.240666)
 [0,0.242638)
 [0,0.242981)
 [0,0.244632)
 [0,0.250833)
 [0,0.25742)
 [0,0.267092)
 [0,0.267711)
 [0,0.275204)
 [0,0.275675)
 [0,0.281043)
 [0,0.283048)
 [0,0.283558)
 [0,0.289233)
 [0,0.289884)
 [0,0.293602)
 [0,0.294105)
 [0,0.297042)
 [0,0.297846)
 [0,0.297893)
 [0,0.297934)
 [0,0.298483)
 [0,0.300468)
 [0,0.301171)
 [0,0.302166)
 [0,0.302828)
 [0,0.303595)
 [0,0.303832)
 [0,0.304015)
 [0,0.304587)
 [0,0.304884)
 [0,0.306132)
 [0,0.306472)
 [0,0.307631)
 [0,0.307924)
 [0,0.308302)
 [0,0.309467)
 [0,0.310654)
 [0,0.311708)
 [0,0.312418)
 [0,0.312642)
 [0,0.312693)
 [0,0.313356)
 [0,0.314033)
 [0,0.314391)
 [0,0.314663)
 [0,0.314746)
 [0,0.314951)
 [0,0.315387)
 [0,0.316078)
 [0,0.316319)
 [0,0.31683)
 [0,0.317498)
 [0,0.317529)
 [0,0.318176)
 [0,0.318209)
 [0,0.3191)
 [0,0.319113)
 [0,0.319681)
 [0,0.320861)
 [0,0.321409)
 [0,0.321925)
 [0,0.322046)
 [0,0.322076)
 [0,0.322523)
 [0,0.322531)
 [0,0.323447)
 [0,0.323827)
 [0,0.324401)
 [0,0.325346)
 [0,0.325509)
 [0,0.326153)
 [0,0.326267)
 [0,0.326663)
 [0,0.327002)
 [0,0.328493)
 [0,0.329298)
 [0,0.329462)
 [0,0.329735)
 [0,0.329803)
 [0,0.330121)
 [0,0.330409)
 [0,0.331798)
 [0,0.332175)
 [0,0.332488)
 [0,0.332602)
 [0,0.332615)
 [0,0.332674)
 [0,0.332952)
 [0,0.333662)
 [0,0.333708)
 [0,0.333829)
 [0,0.335215)
 [0,0.335407)
 [0,0.335477)
 [0,0.336335)
 [0,0.337036)
 [0,0.337343)
 [0,0.338209)
 [0,0.33821)
 [0,0.338895)
 [0,0.338917)
 [0,0.339013)
 [0,0.339206)
 [0,0.339246)
 [0,0.339578)
 [0,0.341283)
 [0,0.341621)
 [0,0.34174)
 [0,0.341826)
 [0,0.34199)
 [0,0.34221)
 [0,0.342475)
 [0,0.342584)
 [0,0.343001)
 [0,0.343373)
 [0,0.343945)
 [0,0.344397)
 [0,0.344577)
 [0,0.344703)
 [0,0.345371)
 [0,0.345562)
 [0,0.345579)
 [0,0.346585)
 [0,0.346965)
 [0,0.34757)
 [0,0.348184)
 [0,0.348428)
 [0,0.348907)
 [0,0.34907)
 [0,0.349242)
 [0,0.349468)
 [0,0.349779)
 [0,0.350009)
 [0,0.350241)
 [0,0.351391)
 [0,0.351661)
 [0,0.351992)
 [0,0.35223)
 [0,0.352354)
 [0,0.352626)
 [0,0.352639)
 [0,0.353013)
 [0,0.353386)
 [0,0.353442)
 [0,0.353442)
 [0,0.354006)
 [0,0.354154)
 [0,0.354318)
 [0,0.354457)
 [0,0.354799)
 [0,0.355535)
 [0,0.356183)
 [0,0.356329)
 [0,0.356948)
 [0,0.356968)
 [0,0.357435)
 [0,0.357771)
 [0,0.357962)
 [0,0.358113)
 [0,0.358113)
 [0,0.358649)
 [0,0.35867)
 [0,0.359089)
 [0,0.359146)
 [0,0.359167)
 [0,0.359447)
 [0,0.359573)
 [0,0.35965)
 [0,0.360311)
 [0,0.36034)
 [0,0.360472)
 [0,0.360734)
 [0,0.360889)
 [0,0.360922)
 [0,0.361267)
 [0,0.362008)
 [0,0.362415)
 [0,0.363001)
 [0,0.363055)
 [0,0.363299)
 [0,0.363593)
 [0,0.363897)
 [0,0.363941)
 [0,0.364051)
 [0,0.364051)
 [0,0.364247)
 [0,0.365153)
 [0,0.365247)
 [0,0.365308)
 [0,0.366318)
 [0,0.366706)
 [0,0.366722)
 [0,0.366771)
 [0,0.366973)
 [0,0.367485)
 [0,0.367696)
 [0,0.367837)
 [0,0.36809)
 [0,0.36842)
 [0,0.368436)
 [0,0.36873)
 [0,0.368917)
 [0,0.369131)
 [0,0.36946)
 [0,0.3695)
 [0,0.36967)
 [0,0.370005)
 [0,0.370304)
 [0,0.370552)
 [0,0.370624)
 [0,0.370951)
 [0,0.371065)
 [0,0.371228)
 [0,0.371602)
 [0,0.371652)
 [0,0.371652)
 [0,0.371711)
 [0,0.371727)
 [0,0.371775)
 [0,0.371903)
 [0,0.371989)
 [0,0.37258)
 [0,0.37271)
 [0,0.372726)
 [0,0.373048)
 [0,0.373269)
 [0,0.373872)
 [0,0.374098)
 [0,0.374301)
 [0,0.374486)
 [0,0.375192)
 [0,0.375247)
 [0,0.375357)
 [0,0.375481)
 [0,0.375686)
 [0,0.375694)
 [0,0.375794)
 [0,0.375851)
 [0,0.376288)
 [0,0.376379)
 [0,0.37647)
 [0,0.376619)
 [0,0.376772)
 [0,0.377005)
 [0,0.377012)
 [0,0.377127)
 [0,0.377224)
 [0,0.377631)
 [0,0.37768)
 [0,0.378001)
 [0,0.378061)
 [0,0.378431)
 [0,0.378493)
 [0,0.378652)
 [0,0.378704)
 [0,0.378863)
 [0,0.378889)
 [0,0.379459)
 [0,0.379729)
 [0,0.38058)
 [0,0.380764)
 [0,0.380947)
 [0,0.381357)
 [0,0.381608)
 [0,0.381725)
 [0,0.381895)
 [0,0.382001)
 [0,0.382123)
 [0,0.382294)
 [0,0.382896)
 [0,0.382941)
 [0,0.383047)
 [0,0.383344)
 [0,0.383677)
 [0,0.383751)
 [0,0.383803)
 [0,0.383857)
 [0,0.38422)
 [0,0.384338)
 [0,0.38504)
 [0,0.385187)
 [0,0.385417)
 [0,0.385946)
 [0,0.386039)
 [0,0.386535)
 [0,0.386793)
 [0,0.386898)
 [0,0.38697)
 [0,0.3872)
 [0,0.387372)
 [0,0.387475)
 [0,0.38778)
 [0,0.388207)
 [0,0.388361)
 [0,0.388398)
 [0,0.388485)
 [0,0.388542)
 [0,0.388765)
 [0,0.3888)
 [0,0.388891)
 [0,0.389076)
 [0,0.389803)
 [0,0.389894)
 [0,0.389955)
 [0,0.390083)
 [0,0.390186)
 [0,0.390692)
 [0,0.390913)
 [0,0.390959)
 [0,0.390989)
