point cloud with 8471 points in dimension 3
value range: [0.234798,96.3949]
sparse distance matrix with 8471 points and 1697/35878920 entries
persistence intervals in dim 0:
 [0,0.234798)
 [0,0.236637)
 [0,0.237697)
 [0,0.240958)
 [0,0.244377)
 [0,0.253776)
 [0,0.253947)
 [0,0.260862)
 [0,0.262269)
 [0,0.265364)
 [0,0.266312)
 [0,0.27119)
 [0,0.277622)
 [0,0.28132)
 [0,0.287578)
 [0,0.290795)
 [0,0.298222)
 [0,0.298739)
 [0,0.298804)
 [0,0.299042)
 [0,0.299628)
 [0,0.301921)
 [0,0.302174)
 [0,0.303318)
 [0,0.303595)
 [0,0.304888)
 [0,0.306557)
 [0,0.306894)
 [0,0.308172)
 [0,0.309013)
 [0,0.310098)
 [0,0.310266)
 [0,0.312085)
 [0,0.313428)
 [0,0.313696)
 [0,0.315991)
 [0,0.316811)
 [0,0.317191)
 [0,0.317723)
 [0,0.318812)
 [0,0.318925)
 [0,0.319856)
 [0,0.320062)
 [0,0.320924)
 [0,0.323279)
 [0,0.323311)
 [0,0.323512)
 [0,0.326382)
 [0,0.32732)
 [0,0.327391)
 [0,0.327605)
 [0,0.328123)
 [0,0.329879)
 [0,0.329985)
 [0,0.33)
 [0,0.33173)
 [0,0.332826)
 [0,0.335598)
 [0,0.336268)
 [0,0.336543)
 [0,0.336555)
 [0,0.338148)
 [0,0.338587)
 [0,0.338615)
 [0,0.338647)
 [0,0.339996)
 [0,0.34127)
 [0,0.34265)
 [0,0.343647)
 [0,0.343705)
 [0,0.343827)
 [0,0.34521)
 [0,0.34522)
 [0,0.346013)
 [0,0.346283)
 [0,0.346302)
 [0,0.346539)
 [0,0.346699)
 [0,0.347937)
 [0,0.349052)
 [0,0.350682)
 [0,0.352308)
 [0,0.35339)
 [0,0.353873)
 [0,0.354267)
 [0,0.356073)
 [0,0.356183)
 [0,0.356248)
 [0,0.356295)
 [0,0.356427)
 [0,0.357347)
 [0,0.358979)
 [0,0.360272)
 [0,0.360612)
 [0,0.361199)
 [0,0.361203)
 [0,0.361781)
 [0,0.363402)
 [0,0.364424)
 [0,0.364726)
 [0,0.364967)
 [0,0.366695)
 [0,0.366879)
 [0,0.368402)
 [0,0.370012)
 [0,0.370324)
 [0,0.371497)
 [0,0.371562)
 [0,0.371732)
 [0,0.372447)
 [0,0.373101)
 [0,0.373208)
 [0,0.373751)
 [0,0.373803)
 [0,0.373858)
 [0,0.373893)
 [0,0.373894)
 [0,0.374318)
 [0,0.374546)
 [0,0.374733)
 [0,0.374817)
 [0,0.374903)
 [0,0.375155)
 [0,0.375353)
 [0,0.376384)
 [0,0.377037)
 [0,0.377479)
 [0,0.378502)
 [0,0.378715)
 [0,0.378889)
 [0,0.379687)
 [0,0.380033)
 [0,0.380468)
 [0,0.380741)
 [0,0.380822)
 [0,0.380867)
 [0,0.383158)
 [0,0.383642)
 [0,0.383751)
 [0,0.384021)
 [0,0.384912)
 [0,0.384974)
 [0,0.385632)
 [0,0.386122)
 [0,0.386731)
 [0,0.38684)
 [0,0.387857)
 [0,0.38833)
 [0,0.388402)
 [0,0.388404)
 [0,0.389755)
 [0,0.391203)
 [0,0.391308)
 [0,0.392413)
 [0,0.392563)
 [0,0.393459)
 [0,0.393468)
 [0,0.394046)
 [0,0.394458)
 [0,0.39489)
 [0,0.395153)
 [0,0.395216)
 [0,0.395601)
 [0,0.39598)
 [0,0.396247)
 [0,0.396596)
 [0,0.396919)
 [0,0.397135)
 [0,0.397277)
 [0,0.397598)
 [0,0.39802)
 [0,0.398321)
 [0,0.398497)
 [0,0.3986)
 [0,0.398741)
 [0,0.39911)
 [0,0.399325)
 [0,0.399625)
 [0,0.399665)
 [0,0.399671)
 [0,0.399921)
 [0,0.399963)
 [0,0.40005)
 [0,0.40032)
 [0,0.400405)
 [0,0.401031)
 [0,0.402323)
 [0,0.402405)
 [0,0.402602)
 [0,0.402796)
 [0,0.403347)
 [0,0.403565)
 [0,0.403729)
 [0,0.404031)
 [0,0.405783)
 [0,0.406011)
 [0,0.406185)
 [0,0.406768)
 [0,0.406774)
 [0,0.407172)
 [0,0.407462)
 [0,0.407727)
 [0,0.408006)
 [0,0.408075)
 [0,0.408104)
 [0,0.408167)
 [0,0.408333)
 [0,0.408806)
 [0,0.409078)
 [0,0.409206)
 [0,0.409207)
 [0,0.409333)
 [0,0.409781)
 [0,0.409884)
 [0,0.410762)
 [0,0.410972)
 [0,0.411145)
 [0,0.411439)
 [0,0.411588)
 [0,0.411831)
 [0,0.412011)
 [0,0.412167)
 [0,0.412825)
 [0,0.413237)
 [0,0.413304)
 [0,0.413717)
 [0,0.414658)
 [0,0.414797)
 [0,0.414837)
 [0,0.415023)
 [0,0.415271)
 [0,0.415954)
 [0,0.416016)
 [0,0.416019)
 [0,0.41607)
 [0,0.416808)
 [0,0.417024)
 [0,0.417116)
 [0,0.417433)
 [0,0.417445)
 [0,0.41772)
 [0,0.417948)
 [0,0.418016)
 [0,0.418145)
 [0,0.418226)
 [0,0.418527)
 [0,0.419501)
 [0,0.419863)
 [0,0.420386)
 [0,0.420449)
 [0,0.420848)
 [0,0.421087)
 [0,0.42147)
 [0,0.421859)
 [0,0.421865)
 [0,0.422058)
 [0,0.422153)
 [0,0.422355)
 [0,0.422573)
 [0,0.423387)
 [0,0.424124)
 [0,0.424549)
 [0,0.424887)
 [0,0.424991)
 [0,0.425065)
 [0,0.425141)
 [0,0.42518)
 [0,0.425229)
 [0,0.425315)
 [0,0.425472)
 [0,0.42565)
 [0,0.425837)
 [0,0.426104)
 [0,0.426395)
 [0,0.426653)
 [0,0.427482)
 [0,0.427507)
 [0,0.427604)
 [0,0.428086)
 [0,0.428404)
 [0,0.428464)
 [0,0.428528)
 [0,0.428656)
 [0,0.428967)
 [0,0.428981)
 [0,0.429439)
 [0,0.430401)
 [0,0.430509)
 [0,0.430726)
 [0,0.431654)
 [0,0.432001)
 [0,0.432094)
 [0,0.432186)
 [0,0.432334)
 [0,0.432539)
 [0,0.43256)
 [0,0.432678)
 [0,0.4327)
 [0,0.433315)
 [0,0.433383)
 [0,0.433568)
 [0,0.433896)
 [0,0.434029)
 [0,0.434166)
 [0,0.434581)
 [0,0.434609)
 [0,0.434623)
 [0,0.434968)
 [0,0.435136)
 [0,0.435487)
 [0,0.435791)
 [0,0.43601)
 [0,0.436125)
 [0,0.436314)
 [0,0.436406)
