point cloud with 5284 points in dimension 3
value range: [0.212603,86.5101]
sparse distance matrix with 5284 points and 472/13960327 entries
persistence intervals in dim 0:
 [0,0.212603)
 [0,0.247951)
 [0,0.272061)
 [0,0.272413)
 [0,0.312922)
 [0,0.315412)
 [0,0.322386)
 [0,0.334073)
 [0,0.338723)
 [0,0.339024)
 [0,0.343705)
 [0,0.345117)
 [0,0.347589)
 [0,0.349057)
 [0,0.349494)
 [0,0.351548)
 [0,0.355473)
 [0,0.355609)
 [0,0.357022)
 [0,0.365141)
 [0,0.366384)
 [0,0.36873)
 [0,0.371129)
 [0,0.37184)
 [0,0.375826)
 [0,0.376873)
 [0,0.377171)
 [0,0.37769)
 [0,0.382341)
 [0,0.382479)
 [0,0.384293)
 [0,0.386846)
 [0,0.3888)
 [0,0.39061)
 [0,0.390928)
 [0,0.391372)
 [0,0.392149)
 [0,0.392195)
 [0,0.397408)
 [0,0.397819)
 [0,0.399546)
 [0,0.400211)
 [0,0.400525)
 [0,0.402783)
 [0,0.402797)
 [0,0.403068)
 [0,0.403714)
 [0,0.405444)
 [0,0.40643)
 [0,0.407306)
 [0,0.408579)
 [0,0.410888)
 [0,0.411175)
 [0,0.411486)
 [0,0.412044)
 [0,0.412147)
 [0,0.412989)
 [0,0.414224)
 [0,0.41679)
 [0,0.417235)
 [0,0.419547)
 [0,0.419762)
 [0,0.420577)
 [0,0.421046)
 [0,0.421058)
 [0,0.422143)
 [0,0.423086)
 [0,0.424349)
 [0,0.426287)
 [0,0.426517)
 [0,0.426676)
 [0,0.427142)
 [0,0.429849)
 [0,0.42993)
 [0,0.430308)
 [0,0.432668)
 [0,0.432801)
 [0,0.432983)
 [0,0.433377)
 [0,0.435643)
 [0,0.437722)
 [0,0.437809)
 [0,0.437896)
 [0,0.438211)
 [0,0.438549)
 [0,0.438625)
 [0,0.439246)
 [0,0.441861)
 [0,0.442463)
 [0,0.442676)
 [0,0.442995)
 [0,0.445202)
 [0,0.445277)
 [0,0.446013)
 [0,0.44606)
 [0,0.446467)
 [0,0.44809)
