point cloud with 13329 points in dimension 3
value range: [0.17229,192.087]
sparse distance matrix with 13329 points and 4589/88831120 entries
persistence intervals in dim 0:
 [0,0.17229)
 [0,0.192512)
 [0,0.213084)
 [0,0.21783)
 [0,0.22064)
 [0,0.227706)
 [0,0.232123)
 [0,0.233112)
 [0,0.235951)
 [0,0.236535)
 [0,0.238321)
 [0,0.240601)
 [0,0.251311)
 [0,0.255227)
 [0,0.256008)
 [0,0.256195)
 [0,0.258961)
 [0,0.259669)
 [0,0.260215)
 [0,0.261297)
 [0,0.265415)
 [0,0.268343)
 [0,0.269676)
 [0,0.269863)
 [0,0.270224)
 [0,0.270697)
 [0,0.271249)
 [0,0.276622)
 [0,0.276644)
 [0,0.278016)
 [0,0.279244)
 [0,0.279428)
 [0,0.279551)
 [0,0.279566)
 [0,0.281233)
 [0,0.282392)
 [0,0.282837)
 [0,0.284178)
 [0,0.284839)
 [0,0.285203)
 [0,0.285377)
 [0,0.287002)
 [0,0.287237)
 [0,0.288312)
 [0,0.289836)
 [0,0.290291)
 [0,0.290303)
 [0,0.290441)
 [0,0.293097)
 [0,0.293471)
 [0,0.293552)
 [0,0.294187)
 [0,0.294201)
 [0,0.295061)
 [0,0.295393)
 [0,0.296306)
 [0,0.296547)
 [0,0.298211)
 [0,0.300421)
 [0,0.300666)
 [0,0.30148)
 [0,0.302081)
 [0,0.302165)
 [0,0.302301)
 [0,0.302804)
 [0,0.303289)
 [0,0.303712)
 [0,0.304266)
 [0,0.304332)
 [0,0.304357)
 [0,0.304547)
 [0,0.305084)
 [0,0.305761)
 [0,0.307353)
 [0,0.307379)
 [0,0.308561)
 [0,0.308973)
 [0,0.309071)
 [0,0.309096)
 [0,0.309614)
 [0,0.309958)
 [0,0.310711)
 [0,0.310822)
 [0,0.310987)
 [0,0.311589)
 [0,0.311873)
 [0,0.311906)
 [0,0.312194)
 [0,0.313077)
 [0,0.313313)
 [0,0.313461)
 [0,0.3136)
 [0,0.313997)
 [0,0.315412)
 [0,0.31556)
 [0,0.315626)
 [0,0.3159)
 [0,0.316362)
 [0,0.317506)
 [0,0.317616)
 [0,0.318718)
 [0,0.318831)
 [0,0.318904)
