point cloud with 194 points in dimension 2
value range: [8.04663e-06,0.84559]
distance matrix with 194 points, using threshold at enclosing radius 0.437783
persistence intervals in dim 0:
 [0,8.04663e-06)
 [0,1.35303e-05)
 [0,2.71201e-05)
 [0,5.66244e-05)
 [0,6.40154e-05)
 [0,0.000108659)
 [0,0.000231862)
 [0,0.000242472)
 [0,0.000308394)
 [0,0.000316441)
 [0,0.000320971)
 [0,0.000360072)
 [0,0.000368059)
 [0,0.000376821)
 [0,0.000403881)
 [0,0.00044781)
 [0,0.000523746)
 [0,0.000588179)
 [0,0.000606179)
 [0,0.000676334)
 [0,0.000706732)
 [0,0.00074172)
 [0,0.000818193)
 [0,0.000833571)
 [0,0.000901103)
 [0,0.00091517)
 [0,0.000939488)
 [0,0.000985801)
 [0,0.000994861)
 [0,0.00103897)
 [0,0.00105643)
 [0,0.00105691)
 [0,0.00108117)
 [0,0.00112909)
 [0,0.00117737)
 [0,0.00117967)
 [0,0.00122482)
 [0,0.00122613)
 [0,0.0012958)
 [0,0.00130606)
 [0,0.00132042)
 [0,0.00146186)
 [0,0.00151819)
 [0,0.00159591)
 [0,0.00160611)
 [0,0.00163048)
 [0,0.00167233)
 [0,0.00168902)
 [0,0.00176871)
 [0,0.00177914)
 [0,0.00189352)
 [0,0.00203592)
 [0,0.00206566)
 [0,0.00206846)
 [0,0.00217474)
 [0,0.00220058)
 [0,0.00227249)
 [0,0.0023253)
 [0,0.00240946)
 [0,0.00242949)
 [0,0.00245148)
 [0,0.00248402)
 [0,0.0025)
 [0,0.00257975)
 [0,0.00276929)
 [0,0.00288451)
 [0,0.00290912)
 [0,0.00311065)
 [0,0.00313133)
 [0,0.00322876)
 [0,0.00330055)
 [0,0.00331691)
 [0,0.00345016)
 [0,0.00345272)
 [0,0.00347769)
 [0,0.00348282)
 [0,0.00376516)
 [0,0.00413871)
 [0,0.00438052)
 [0,0.00442323)
 [0,0.00458121)
 [0,0.00461665)
 [0,0.00472873)
 [0,0.00477898)
 [0,0.00490981)
 [0,0.00493908)
 [0,0.00501233)
 [0,0.00518277)
 [0,0.00524431)
 [0,0.00546378)
 [0,0.00551773)
 [0,0.00552824)
 [0,0.00553036)
 [0,0.00557244)
 [0,0.0056735)
 [0,0.00567771)
 [0,0.00643059)
 [0,0.00645533)
 [0,0.00655664)
 [0,0.006689)
 [0,0.00701528)
 [0,0.00738919)
 [0,0.0074001)
 [0,0.00745848)
 [0,0.00755066)
 [0,0.00784927)
 [0,0.00787139)
 [0,0.00956261)
 [0,0.009642)
 [0,0.0100294)
 [0,0.010059)
 [0,0.0101374)
 [0,0.0102151)
 [0,0.0104121)
 [0,0.0107058)
 [0,0.0109784)
 [0,0.0111038)
 [0,0.011215)
 [0,0.0113038)
 [0,0.0113073)
 [0,0.011421)
 [0,0.0114714)
 [0,0.0115048)
 [0,0.0115581)
 [0,0.0116393)
 [0,0.011726)
 [0,0.0118767)
 [0,0.0120505)
 [0,0.0120969)
 [0,0.0124163)
 [0,0.0128987)
 [0,0.0134067)
 [0,0.0142861)
 [0,0.0148893)
 [0,0.0149919)
 [0,0.0150092)
 [0,0.0151926)
 [0,0.0152228)
 [0,0.0153982)
 [0,0.0158279)
 [0,0.0161896)
 [0,0.0162808)
 [0,0.0164476)
 [0,0.016482)
 [0,0.0166765)
 [0,0.0166997)
 [0,0.0167843)
 [0,0.0169643)
 [0,0.0170923)
 [0,0.0171295)
 [0,0.0172148)
 [0,0.0174656)
 [0,0.0179042)
 [0,0.0180556)
 [0,0.0181115)
 [0,0.0183189)
 [0,0.0187276)
 [0,0.0187327)
 [0,0.0188236)
 [0,0.0191636)
 [0,0.0193117)
 [0,0.0200126)
 [0,0.0200316)
 [0,0.0207603)
 [0,0.021046)
 [0,0.0216727)
 [0,0.0219863)
 [0,0.0224543)
 [0,0.0228022)
 [0,0.0229857)
 [0,0.0230321)
 [0,0.0242924)
 [0,0.0244598)
 [0,0.0261392)
 [0,0.0269285)
 [0,0.0291849)
 [0,0.0295554)
 [0,0.0339164)
 [0,0.0341648)
 [0,0.0345566)
 [0,0.0354674)
 [0,0.0368653)
 [0,0.0373692)
 [0,0.039053)
 [0,0.0391939)
 [0,0.0400932)
 [0,0.0405758)
 [0,0.0427119)
 [0,0.051522)
 [0,0.163268)
 [0,0.181725)
 [0,0.209216)
 [0,0.353443)
 [0, )
