point cloud with 67 points in dimension 2
value range: [0.000125289,0.842936]
distance matrix with 67 points, using threshold at enclosing radius 0.428041
persistence intervals in dim 0:
 [0,0.000125289)
 [0,0.000989676)
 [0,0.00196277)
 [0,0.00235659)
 [0,0.00253373)
 [0,0.00323111)
 [0,0.00339973)
 [0,0.00346911)
 [0,0.00351846)
 [0,0.00388479)
 [0,0.0042699)
 [0,0.00451161)
 [0,0.00470025)
 [0,0.00589337)
 [0,0.00598046)
 [0,0.0060754)
 [0,0.00660032)
 [0,0.00741491)
 [0,0.00784409)
 [0,0.00846033)
 [0,0.00976296)
 [0,0.0102234)
 [0,0.0102495)
 [0,0.0108802)
 [0,0.0115956)
 [0,0.0118572)
 [0,0.0119236)
 [0,0.0125)
 [0,0.013521)
 [0,0.0140332)
 [0,0.0156381)
 [0,0.0159376)
 [0,0.016725)
 [0,0.0172598)
 [0,0.0177014)
 [0,0.0183989)
 [0,0.0188625)
 [0,0.0195984)
 [0,0.0196491)
 [0,0.019937)
 [0,0.0200573)
 [0,0.0204036)
 [0,0.0215837)
 [0,0.0236919)
 [0,0.023695)
 [0,0.0240819)
 [0,0.0243826)
 [0,0.0258124)
 [0,0.0260671)
 [0,0.0261355)
 [0,0.0274149)
 [0,0.0274348)
 [0,0.0290243)
 [0,0.0296266)
 [0,0.0296443)
 [0,0.0306303)
 [0,0.0346533)
 [0,0.0351906)
 [0,0.0366257)
 [0,0.0369557)
 [0,0.040625)
 [0,0.0641465)
 [0,0.097684)
 [0,0.104528)
 [0,0.329211)
 [0,0.334591)
 [0, )
